,OH,HOI,HO2,I,I2
0,3161358.87062917,697119.2075897891,3418526.286158149,678476.1492094289,601041989.5389873
1,9661825.772614356,1823170.8943757028,10226008.647023894,1774525.8980922212,519554355.05762523
2,16310531.679439658,2696620.6282579536,16993904.150366277,2624780.984932358,458474108.24356085
3,23059221.237285983,3374513.8163659764,23722199.26828082,3284716.539875406,408089210.8495355
4,32624604.56688135,4917412.556311624,33744050.81079071,4786355.451972495,418625070.07055926
5,48751207.79811375,6899121.737364508,50255841.23627463,6715077.935541561,392867165.6639257
6,64888115.134780735,8411798.105296284,66532596.07646571,8187256.039267092,360096903.58658427
7,80881073.82135637,9649527.960432585,82579964.87901366,9391743.701122595,331415698.93480253
8,96743329.73936895,10604921.52541855,98402521.98284377,10321377.505349323,304457407.31491715
9,127804460.01638503,12038680.325677766,129396629.0629549,11716150.185704665,261161828.33670136
10,64980255.49651591,8300007.652894096,66531682.790937334,8078491.712545655,355064646.68146133
