,OH,HOI,HO2,I,I2
0,7615921.410459022,1157474.4158900585,7390877.48478141,1110667.708279441,578366264.3780795
1,23045192.35722023,3023759.6976312245,22097110.01669526,2901777.6771801757,504592339.1910956
2,38604753.29385257,4472040.943270233,36702579.60002904,4291996.104637193,449295359.6749507
3,54224024.47533576,5598727.504268178,51207618.64647235,5373724.713495277,403440756.3751929
4,76770813.23713732,8077860.892718504,72785852.05049308,7751107.008363941,400938003.148451
5,114144732.60997145,11321947.96648919,108267775.01264326,10863461.087320862,376268379.9069577
6,151059294.73329768,13785450.701665815,143160995.62131837,13226665.418535823,344882673.7481601
7,187305155.12007943,15795804.325933143,177483304.20915544,15154875.99455225,317413260.79819226
8,222916679.66928792,17341618.822961375,211249718.00567958,16637237.71213073,291593967.15543777
9,291912550.3108626,19656741.29516229,277185231.7429879,18856552.490654267,250127642.70010573
10,151192115.89660844,13598526.486556392,143158894.36169463,13047368.761497058,340063031.59311694
