,OH,HOI,HO2,I,I2
0,5526883.36207094,2206909.9724173206,6746438.455836073,2147824.600470668,1019123506.9603652
1,11292138.678181902,4059412.161277844,13455908.973497488,3951018.4696485773,928321065.5503253
2,16934671.347322017,5989442.766170488,20129040.229185216,5829480.877973462,913753993.0597117
3,22424440.871902227,8034434.488491341,26766579.868212115,7819621.477712797,922888571.9606769
4,25862373.98032233,12492239.301908547,33379539.83253566,12154586.739215598,1193442168.8885498
5,39471089.11195773,17295965.031352475,49735761.40894943,16829341.238659885,1094208533.5714571
6,51340228.952028714,23816829.753454912,65893026.062385425,23171881.91010648,1145050337.2655644
7,64848384.94526909,27933685.482224826,81822891.94898261,27177979.897647824,1070680696.881726
8,75712736.32246801,34924974.58615942,97584554.52478501,33976276.34757186,1131721047.7915447
9,90389994.76090966,36803394.55173455,113081174.68874763,35806314.32127487,1012674099.8038927
10,101918653.71425024,42217877.09957607,128433981.60306503,41071580.22812199,1024441711.8234357
