,OH,HOI,HO2,I,I2
0,5193394.270803317,1357278.2861076882,8712578.0852749,1302020.1746011127,983981317.064262
1,10305290.262686588,2412333.045214733,16962160.805978607,2315278.425033739,904517961.3292106
2,15139673.903172933,3455267.698206432,24780469.21964371,3317636.88166433,898266637.2329003
3,19699211.248615853,4507941.8819493465,32196402.311225966,4330040.830368958,915133205.7663647
4,25200598.828594156,7989985.348528624,44179513.048493624,7658901.207895737,1141553378.9690115
5,36341101.25422837,10234651.516510494,62020979.42564237,9822095.076348372,1070927501.3169377
6,49678123.54747853,15195012.748436244,87180649.74145937,14563676.170948852,1095265540.094571
7,59584216.55453398,16529852.367521062,102126885.05710703,15861663.253005747,1047900256.6652172
8,73022903.23591988,22267475.480138164,129034056.3946618,21339188.066508926,1082515784.8494666
9,82578093.88041088,21739397.308929443,141247907.25396183,20858820.63098172,991127842.3884958
10,97032375.69864373,26770071.781645276,169714583.2685019,25652590.639110327,979900767.8760917
