,OH,HOI,HO2,I,I2
0,2830210.765610351,421048.38067321904,4416036.604253656,403971.5503387361,577624769.1673383
1,8404257.115301797,1064001.07149958,12891853.267421313,1021350.9354489797,503945425.93572235
2,13820525.289288118,1523176.627799023,20919740.179460637,1462790.5011685179,448719339.9830597
3,19063215.903433315,1846924.3715603373,28529755.00252209,1774472.6029872647,402923524.6362503
4,28906162.718049437,2986400.039426243,44150731.93963471,2864664.165109588,400423980.06749153
5,43048211.32342392,4184797.811741695,65762134.31118628,4013978.714743421,375785984.5481026
6,57061922.18168113,5094175.870989038,87067210.22283739,4885988.625058325,344440516.4741241
7,70865343.31351803,5835758.273168955,108069778.37777011,5596962.959688064,317006320.7202458
8,84469475.69474033,6405451.374448088,128772828.96303588,6143008.594406091,291220128.73600775
9,110946545.22657627,7257532.709638864,169296853.02770847,6959364.857580067,249806966.23510557
10,57112731.25477993,5025076.205347582,87066455.44469194,4819734.957765482,339627053.34748465
