,OH,HSO3,HO2,SO3,H2SO4,H2O
0,426804.0656411412,631.4479491692682,456637200.76541156,25375.449824464387,271902168.9326646,4.324262533379968e+16
1,758952.952388078,1122.8584332690161,819616189.0920943,13361.893504309173,488606278.81615615,7.783672560083944e+16
2,1002778.598122256,1483.5973821613798,1090505989.3963597,9852.734716273219,650485332.5150176,1.0378230080111925e+17
3,1477203.2223854475,2185.51071718933,1628869947.8739834,6414.758617049947,972662712.6012774,1.5567345120167888e+17
4,1631515.0644975635,2413.8170089579094,1807322800.6614137,5733.874249880433,1079595449.9460073,1.7297050133519872e+17
5,1242167.7068324294,1837.7739209156637,1360254083.6437554,7782.807881506486,811834368.9657323,1.2972787600139907e+17
6,840726.3099895107,1243.841587465046,910040235.2233001,11948.199239607928,542625699.730083,8.648525066759936e+16
7,593896.0032539557,878.6582341331874,638383974.5773958,17491.05205611091,380383598.81588686,6.053967546731956e+16
8,257651.20193967797,381.18921892185347,274372971.0012758,47772.129989680994,163107225.89157227,2.5945575200279812e+16
9,86411.0966783463,127.84312519151759,91588364.27142759,1333051.7238985924,52266695.20124483,8648525066759939.0
