,OH,HSO3,HO2,SO3,H2SO4
0,15282.246866858202,22.588680421918554,11104669.856181465,1225255.5732536337,4766090.6840095185
1,45775.42165156679,67.66065140898367,33302759.40100109,28812.54410374593,18528681.21676107
2,60986.42348424783,90.1440511770277,44396141.32951484,16835.800008124224,24788961.28829662
3,91337.44065820126,135.0059520343656,66571485.28350529,9690.809785876838,37267586.219113305
4,121594.05509808182,179.7283513146238,88731477.36959727,6930.096634146716,49722335.81055051
5,151756.56160739972,224.311684565523,110875967.54162377,5422.61325372558,62163257.34060665
6,226753.03718502162,335.1644574479789,166168391.06947124,3530.0362420913334,93223974.84018046
7,301167.76879092143,445.15756832731864,221360666.5040557,2619.206257975004,124236690.6654909
8,271471.3921675813,401.2630501512822,199295922.35723007,2920.781293342901,111836945.7028236
9,181825.25464180243,268.75638682105614,133004806.15689938,4462.436799423484,74593924.0998809
10,136687.05343239318,202.03737399202367,99805669.55703244,6081.501492694645,55944231.47407735
11,76173.75085170382,112.59246654450224,55485722.89644068,12218.509697127269,31032494.678807642
