,OH,HSO3,HO2,SO3,H2SO4
0,46796.28244440502,69.17133586723644,60666759.7414644,810750.695081834,34590870.55346793
1,139798.78126049045,206.64198471586639,181833240.15346232,25743.311397682613,107719230.518367
2,232020.0690191685,342.95812773116455,302772221.9042589,13706.296939900147,179633028.30587155
3,414145.52098341996,612.1660667676385,543944936.2864844,7245.654504772663,323052072.70105374
4,548738.0985005988,811.1140930931649,724185216.1684426,5357.967686012119,430335158.3170862
5,812872.3265797913,1201.5456243155543,1082940883.6090243,3507.9558516414095,644227939.0698994
6,899444.352490103,1329.5130050305054,1201995013.6932263,3141.40815518139,715329999.768519
7,681639.6972745609,1007.563105281971,903856705.3793452,4244.237410644076,537392267.5072677
8,459198.9637134626,678.7617587817966,604087075.6944983,6485.228947003802,358838660.66787714
9,323466.7787781057,478.1295658895787,423478005.98001355,9466.49234283325,251399549.0922127
