,R,SA
0,0.0,40826352.77256297
1,0.001,40829490.6784401
2,0.002,40832415.17573466
3,0.003,40835125.79829705
4,0.004,40837622.07997747
5,0.005,40839903.55462636
6,0.006,40841969.756093934
7,0.007,40843820.21823055
8,0.008,40845454.4748866
9,0.009000000000000001,40846872.05991233
10,0.01,40848072.5071581
11,0.011,40849055.35047427
12,0.012,40849820.12371112
13,0.013000000000000001,40850366.36071895
14,0.014,40850693.59534812
15,0.015,40850801.36144895
16,0.016,40850689.19287179
17,0.017,40850356.62346692
18,0.018000000000000002,40849803.187084705
19,0.019,40849028.41757543
20,0.02,40848031.84878947
21,0.021,40846813.01457709
22,0.022,40845371.448788695
23,0.023,40843706.68527453
24,0.024,40841818.25788496
25,0.025,40839705.70047031
26,0.026000000000000002,40837368.546880886
27,0.027,40834806.33096704
28,0.028,40832018.58657907
29,0.029,40829004.84756733
30,0.03,40825764.64778211
31,0.031,40822297.52107375
32,0.032,40818603.0012926
33,0.033,40814680.62228895
34,0.034,40810529.91791315
35,0.035,40806150.42201552
36,0.036000000000000004,40801541.66844636
37,0.037,40796703.19105602
38,0.038,40791634.52369482
39,0.039,40786335.20021309
40,0.04,40780804.754461154
41,0.041,40775042.72028933
42,0.042,40769048.631547935
43,0.043000000000000003,40762822.02208732
44,0.044,40756362.4257578
45,0.045,40749669.37640968
46,0.046,40742742.4078933
47,0.047,40735581.054059
48,0.048,40728184.84875708
49,0.049,40720553.32583789
50,0.05,40712686.01915173
51,0.051000000000000004,40704582.46254895
52,0.052000000000000005,40696242.18987985
53,0.053,40687664.734994754
54,0.054,40678849.63174401
55,0.055,40669796.41397794
56,0.056,40660504.61554686
57,0.057,40650973.770301096
58,0.058,40641203.41209097
59,0.059000000000000004,40631193.074766815
60,0.06,40620942.33328688
61,0.061,40610451.10928972
62,0.062,40599719.49831485
63,0.063,40588747.597207166
64,0.064,40577535.50281155
65,0.065,40566083.31197284
66,0.066,40554391.121535964
67,0.067,40542459.02834577
68,0.068,40530287.12924717
69,0.069,40517875.521085024
70,0.07,40505224.3007042
71,0.07100000000000001,40492333.5649496
72,0.07200000000000001,40479203.41066608
73,0.073,40465833.93469854
74,0.074,40452225.23389186
75,0.075,40438377.405090906
76,0.076,40424290.545140564
77,0.077,40409964.75088571
78,0.078,40395400.11917124
79,0.079,40380596.746842034
80,0.08,40365554.74081777
81,0.081,40350274.24681589
82,0.082,40334755.41989182
83,0.083,40318998.41510098
84,0.084,40303003.38749876
85,0.085,40286770.492140606
86,0.08600000000000001,40270299.884081915
87,0.08700000000000001,40253591.718378104
88,0.088,40236646.150084585
89,0.089,40219463.33425678
90,0.09,40202043.42595013
91,0.091,40184386.58022001
92,0.092,40166492.952121854
93,0.093,40148362.69671107
94,0.094,40129995.969043076
95,0.095,40111392.92417331
96,0.096,40092553.71715715
97,0.097,40073478.50305005
98,0.098,40054167.436907396
99,0.099,40034620.67413498
100,0.1,40014838.40656815
101,0.101,39994820.89379403
102,0.10200000000000001,39974568.40278102
103,0.10300000000000001,39954081.20049752
104,0.10400000000000001,39933359.55391193
105,0.105,39912403.72999266
106,0.106,39891213.9957081
107,0.107,39869790.618026644
108,0.108,39848133.86391668
109,0.109,39826244.00034666
110,0.11,39804121.29428492
111,0.111,39781766.012699895
112,0.112,39759178.42256
113,0.113,39736358.7908336
114,0.114,39713307.38448912
115,0.115,39690024.47049493
116,0.116,39666510.31581947
117,0.117,39642765.18743111
118,0.11800000000000001,39618789.35229827
119,0.11900000000000001,39594583.0789864
120,0.12,39570146.669714846
121,0.121,39545480.45873029
122,0.122,39520584.78155093
123,0.123,39495459.97369497
124,0.124,39470106.3706806
125,0.125,39444524.308026046
126,0.126,39418714.12124949
127,0.127,39392676.14586914
128,0.128,39366410.71740322
129,0.129,39339918.1713699
130,0.13,39313198.843287416
131,0.131,39286253.06867393
132,0.132,39259081.183047675
133,0.133,39231683.52192686
134,0.134,39204060.42082967
135,0.135,39176212.215274304
136,0.136,39148139.24077899
137,0.137,39119841.8328619
138,0.138,39091320.32704126
139,0.139,39062575.06389094
140,0.14,39033606.42488098
141,0.14100000000000001,39004414.811290294
142,0.14200000000000002,38975000.62452774
143,0.14300000000000002,38945364.26600218
144,0.14400000000000002,38915506.13712245
145,0.145,38885426.6392974
146,0.146,38855126.17393588
147,0.147,38824605.142446764
148,0.148,38793863.94623886
149,0.149,38762902.98672105
150,0.15,38731722.66530219
151,0.151,38700323.38339109
152,0.152,38668705.542396635
153,0.153,38636869.54372766
154,0.154,38604815.78879302
155,0.155,38572544.679001555
156,0.156,38540056.61576214
157,0.157,38507352.00048359
158,0.158,38474431.234574944
159,0.159,38441294.729731716
160,0.16,38407942.93578847
161,0.161,38374376.31141689
162,0.162,38340595.31528867
163,0.163,38306600.40607551
164,0.164,38272392.042449094
165,0.165,38237970.68308115
166,0.166,38203336.78664335
167,0.167,38168490.811807394
168,0.168,38133433.217244975
169,0.169,38098164.46162781
170,0.17,38062685.00362756
171,0.171,38026995.30191596
172,0.17200000000000001,37991095.81516468
173,0.17300000000000001,37954987.00204542
174,0.17400000000000002,37918669.32122989
175,0.17500000000000002,37882143.23138977
176,0.176,37845409.19119676
177,0.177,37808467.65932257
178,0.178,37771319.09462605
179,0.179,37733963.97332832
180,0.18,37696402.80284642
181,0.181,37658636.09385274
182,0.182,37620664.357019715
183,0.183,37582488.10301976
184,0.184,37544107.842525244
185,0.185,37505524.08620861
186,0.186,37466737.34474224
187,0.187,37427748.12879858
188,0.188,37388556.949050024
189,0.189,37349164.31616897
190,0.19,37309570.740827836
191,0.191,37269776.73369903
192,0.192,37229782.80545497
193,0.193,37189589.46676806
194,0.194,37149197.22831071
195,0.195,37108606.600755334
196,0.196,37067818.09477433
197,0.197,37026832.221040115
198,0.198,36985649.49138745
199,0.199,36944270.440795206
200,0.2,36902695.62555199
201,0.201,36860925.60274107
202,0.202,36818960.92944572
203,0.203,36776802.162749246
204,0.20400000000000001,36734449.85973492
205,0.20500000000000002,36691904.577486016
206,0.20600000000000002,36649166.87308581
207,0.20700000000000002,36606237.303617604
208,0.20800000000000002,36563116.42616464
209,0.209,36519804.79781024
210,0.21,36476302.97563765
211,0.211,36432611.51673017
212,0.212,36388730.97817108
213,0.213,36344661.917043656
214,0.214,36300404.89043117
215,0.215,36255960.45541691
216,0.216,36211329.16908416
217,0.217,36166511.5885162
218,0.218,36121508.27409929
219,0.219,36076319.81185752
220,0.22,36030946.79980421
221,0.221,35985389.83602073
222,0.222,35939649.51858845
223,0.223,35893726.44558875
224,0.224,35847621.215103
225,0.225,35801334.4252126
226,0.226,35754866.67399889
227,0.227,35708218.55954329
228,0.228,35661390.679927155
229,0.229,35614383.63323187
230,0.23,35567198.0175388
231,0.231,35519834.43092934
232,0.232,35472293.47148486
233,0.233,35424575.73728673
234,0.234,35376681.82641634
235,0.23500000000000001,35328612.33695506
236,0.23600000000000002,35280367.86698429
237,0.23700000000000002,35231949.014585696
238,0.23800000000000002,35183356.38444341
239,0.23900000000000002,35134590.60481177
240,0.24,35085652.30920277
241,0.241,35036542.131128326
242,0.242,34987260.704100415
243,0.243,34937808.66163098
244,0.244,34888186.63723196
245,0.245,34838395.26441532
246,0.246,34788435.17669302
247,0.247,34738307.007577
248,0.248,34688011.39057924
249,0.249,34637548.95921164
250,0.25,34586920.3469862
251,0.251,34536126.18741486
252,0.252,34485167.114009574
253,0.253,34434043.76028228
254,0.254,34382756.75974495
255,0.255,34331306.74590952
256,0.256,34279694.352287956
257,0.257,34227920.212514475
258,0.258,34175984.97039972
259,0.259,34123889.287421934
260,0.26,34071633.826824374
261,0.261,34019219.251850255
262,0.262,33966646.22574287
263,0.263,33913915.41174545
264,0.264,33861027.473101266
265,0.265,33807983.07305354
266,0.266,33754782.87484554
267,0.267,33701427.541720524
268,0.268,33647917.73692172
269,0.269,33594254.12369241
270,0.27,33540437.36527582
271,0.271,33486468.124915205
272,0.272,33432347.06585383
273,0.273,33378074.851334937
274,0.274,33323652.14460177
275,0.275,33269079.6088976
276,0.276,33214357.90746566
277,0.277,33159487.704191364
278,0.278,33104469.675057635
279,0.279,33049304.506823793
280,0.28,32993992.886625987
281,0.281,32938535.50160037
282,0.28200000000000003,32882933.0388831
283,0.28300000000000003,32827186.185610324
284,0.28400000000000003,32771295.62891819
285,0.28500000000000003,32715262.05594285
286,0.28600000000000003,32659086.153820463
287,0.28700000000000003,32602768.60968717
288,0.28800000000000003,32546310.110679135
289,0.289,32489711.343932502
290,0.29,32432972.996583425
291,0.291,32376095.755768046
292,0.292,32319080.308622524
293,0.293,32261927.342283018
294,0.294,32204637.543885663
295,0.295,32147211.600566626
296,0.296,32089650.199462056
297,0.297,32031954.02922539
298,0.298,31974123.78981538
299,0.299,31916160.186293934
300,0.3,31858063.92374782
301,0.301,31799835.70726378
302,0.302,31741476.241928574
303,0.303,31682986.232828964
304,0.304,31624366.38505171
305,0.305,31565617.40368357
306,0.306,31506739.9938113
307,0.307,31447734.86052164
308,0.308,31388602.70890139
309,0.309,31329344.24403727
310,0.31,31269960.17101604
311,0.311,31210451.194924485
312,0.312,31150818.020849332
313,0.313,31091061.35387736
314,0.314,31031181.89909531
315,0.315,30971180.36158996
316,0.316,30911057.44644831
317,0.317,30850813.86106563
318,0.318,30790450.32077239
319,0.319,30729967.542602815
320,0.32,30669366.243591204
321,0.321,30608647.140771832
322,0.322,30547810.95117896
323,0.323,30486858.391846877
324,0.324,30425790.179809842
325,0.325,30364607.03210213
326,0.326,30303309.66575802
327,0.327,30241898.797811788
328,0.328,30180375.14529769
329,0.329,30118739.425250016
330,0.33,30056992.354703035
331,0.331,29995134.650691018
332,0.332,29933167.030248232
333,0.333,29871090.210408963
334,0.334,29808904.90820747
335,0.335,29746611.84067804
336,0.336,29684211.724882666
337,0.337,29621705.27996493
338,0.338,29559093.22856081
339,0.339,29496376.293640114
340,0.34,29433555.198172662
341,0.341,29370630.66512827
342,0.342,29307603.417476736
343,0.343,29244474.178187884
344,0.34400000000000003,29181243.670231532
345,0.34500000000000003,29117912.616577473
346,0.34600000000000003,29054481.74019553
347,0.34700000000000003,28990951.764055513
348,0.34800000000000003,28927323.411127247
349,0.34900000000000003,28863597.404380526
350,0.35000000000000003,28799774.466785174
351,0.35100000000000003,28735855.321311
352,0.352,28671840.690927815
353,0.353,28607731.298605435
354,0.354,28543527.867313668
355,0.355,28479231.120022334
356,0.356,28414841.77970037
357,0.357,28350360.569301333
358,0.358,28285788.2117655
359,0.359,28221125.43003272
360,0.36,28156372.947042834
361,0.361,28091531.485735685
362,0.362,28026601.769051116
363,0.363,27961584.519928966
364,0.364,27896480.46130909
365,0.365,27831290.316131316
366,0.366,27766014.807335507
367,0.367,27700654.6578615
368,0.368,27635210.59064913
369,0.369,27569683.328638263
370,0.37,27504073.594768714
371,0.371,27438382.111980345
372,0.372,27372609.603212994
373,0.373,27306756.791406505
374,0.374,27240824.399500724
375,0.375,27174813.150435492
376,0.376,27108723.766628526
377,0.377,27042556.966761574
378,0.378,26976313.46788898
379,0.379,26909993.98705829
380,0.38,26843599.241317097
381,0.381,26777129.94771297
382,0.382,26710586.8232935
383,0.383,26643970.585106254
384,0.384,26577281.95019882
385,0.385,26510521.63561878
386,0.386,26443690.358413696
387,0.387,26376788.83563115
388,0.388,26309817.784318738
389,0.389,26242777.92152402
390,0.39,26175669.96429458
391,0.391,26108494.629678003
392,0.392,26041252.634721857
393,0.393,25973944.69647373
394,0.394,25906571.53198119
395,0.395,25839133.85829134
396,0.396,25771632.39013001
397,0.397,25704067.834537838
398,0.398,25636440.8969671
399,0.399,25568752.282870095
400,0.4,25501002.697699092
401,0.401,25433192.846906383
402,0.402,25365323.435944248
403,0.403,25297395.170264963
404,0.404,25229408.755320825
405,0.405,25161364.896564122
