Start time,End time,Run,stage,,dry N2 ,N2O,UVC.1 filter,ratio,flow rate,NO,NO2,NOX,Note
24/11/2022 10:39,24/11/2022 11:17,1,3,,5000,100,1,0.02,5100,680,0.472222222,0.509803922,
24/11/2022 11:17,24/11/2022 11:32,1,4,,5000,200,1,0.04,5200,1440,0.464516129,0.519230769,"When set the data, observed the spike and then go down, we need to wait longer "
24/11/2022 11:32,24/11/2022 11:45,1,5,,5000,400,1,0.07,5400,3100,,,
24/11/2022 12:13,24/11/2022 12:23,1,10,,5000,400,1,0.07,5400,3270,0.710869565,0.691358025,
24/11/2022 12:23,24/11/2022 12:36,1,11,,5000,600,1,0.11,5600,4600,0.779661017,0.776785714,
24/11/2022 12:37,24/11/2022 12:50,1,12,,5000,800,1,0.14,5800,5900,0.848920863,0.827586207,
24/11/2022 12:55,24/11/2022 13:07,1,13,,5000,1000,1,0.17,6000,6950,0.86875,0.861111111,
24/11/2022 13:08,24/11/2022 13:17,1,14,,5000,1200,1,0.19,6200,8000,0.869565217,0.798387097,
24/11/2022 13:17,24/11/2022 13:27,1,15,,5000,1600,1,0.24,6600,9200,0.91287954,0.848484848,
24/11/2022 13:27,24/11/2022 13:36,1,16,,5000,2000,1,0.29,7000,10078,1.04004128,1.079365079,
24/11/2022 13:36,24/11/2022 13:46,1,17,,5000,1800,1,0.26,6800,9690,1.149329854,1.210084034,
24/11/2022 13:46,24/11/2022 13:58,1,18,,5000,1400,1,0.22,6400,8431,1.297076923,1.434027778,
24/11/2022 13:59,24/11/2022 14:09,1,19,,5000,900,1,0.15,5900,6500,3.02889096,2.694915254,
24/11/2022 14:09,24/11/2022 14:20,1,20,,5000,300,1,0.06,5300,2146,,,
