,H2O_1,UVC,Q1,Q2,H2Oconc_1,H2Oconc_2
3,0,1,22,0,0.0,0.0
4,100,1,22,0,1070106197018514.0,1070106197018514.0
5,1000,1,22,0,2.0932368408853016e+16,2.0932368408853016e+16
6,500,1,22,0,8658345883524754.0,8658345883524754.0
7,750,1,22,0,1.4084600281883354e+16,1.4084600281883354e+16
8,1000,1,22,0,2.040897901454712e+16,2.040897901454712e+16
9,1250,1,22,0,2.636895160364219e+16,2.636895160364219e+16
10,1500,1,22,0,2.9542739261654064e+16,2.9542739261654064e+16
11,1750,1,22,0,3.528350898987329e+16,3.528350898987329e+16
12,2000,1,22,0,4.127864720590083e+16,4.127864720590083e+16
13,1500,1,22,0,2.864397715562189e+16,2.864397715562189e+16
14,500,1,22,0,7604820492767882.0,7604820492767882.0
15,0,1,22,0,-758093038049384.0,-758093038049384.0
