,H2O_2,H2O_1,UVC,Q1,Q2,H2Oconc_1,H2Oconc_2
1,0,0,1,10.5,12.0,380629903140230.6,380629903140230.6
2,0,0,1,10.5,12.0,534078134697610.75,534078134697610.75
3,0,100,1,10.5,12.0,6849835855677196.0,3196590065982691.5
4,0,200,1,10.5,12.0,1.5446410329212534e+16,7208324820299183.0
5,0,400,1,10.5,12.0,3.8653960364944456e+16,1.803851483697408e+16
6,0,600,1,10.5,12.0,5.75142090225769e+16,2.6839964210535884e+16
7,0,800,1,10.5,12.0,6.54200802515481e+16,3.052937078405578e+16
8,0,1000,1,10.5,12.0,8.448867501198331e+16,3.9428048338925544e+16
9,0,1500,1,10.5,12.0,1.1535538344541202e+17,5.38325122745256e+16
10,0,2000,1,10.5,12.0,1.6239979539620218e+17,7.578657118489435e+16
11,0,2500,1,10.5,12.0,2.0865293760686013e+17,9.737137088320139e+16
12,0,3000,1,10.5,12.0,2.4262182739039987e+17,1.1322351944885328e+17
13,0,300,1,10.5,12.0,2.4242372516596664e+16,1.1313107174411778e+16
