Number,N2flow,SO2flow,O2flow,UVC,H2O_1,Q1,Q2,T,H2O_2,H2Oconc_1,H2Oconc_2
1,25,10,100,0,100,21.8,0.0,25.0,0.0,1.0,1.0
2,25,10,100,1,100,21.8,0.0,25.0,0.0,1.0,1.0
3,25,10,100,1,200,21.8,0.0,25.0,0.0,1.0,1.0
4,25,10,100,1,400,21.8,0.0,25.0,0.0,1.0,1.0
5,25,10,100,1,600,21.8,0.0,25.0,0.0,1.0,1.0
6,25,10,100,1,800,21.8,0.0,25.0,0.0,1.0,1.0
7,25,10,100,1,1000,21.8,0.0,25.0,0.0,1.0,1.0
8,25,10,100,1,1200,21.8,0.0,25.0,0.0,1.0,1.0
9,25,10,100,1,1500,21.8,0.0,25.0,0.0,1.0,1.0
10,25,10,100,1,2000,21.8,0.0,25.0,0.0,1.0,1.0
11,25,10,100,1,1800,21.8,0.0,25.0,0.0,1.0,1.0
12,25,10,100,1,1400,21.8,0.0,25.0,0.0,1.0,1.0
13,25,10,100,1,1100,21.8,0.0,25.0,0.0,1.0,1.0
14,25,10,100,1,1100,21.8,0.0,25.0,0.0,1.0,1.0
15,25,10,100,1,700,21.8,0.0,25.0,0.0,1.0,1.0
16,25,10,100,1,300,21.8,0.0,25.0,0.0,1.0,1.0
