Number,N2flow,SO2flow,O2flow,UVC,H2O_1,Q1,Q2,T,H2O_2,H2Oconc_1,H2Oconc_2
1,12,10,100,1,500,8.8,0.0,25.0,0.0,1.0,1.0
2,12,10,100,1,900,8.8,0.0,25.0,0.0,1.0,1.0
3,12,10,100,1,1200,8.8,0.0,25.0,0.0,1.0,1.0
4,12,10,100,1,1800,8.8,0.0,25.0,0.0,1.0,1.0
5,12,10,100,1,2000,8.8,0.0,25.0,0.0,1.0,1.0
6,12,10,100,1,1500,8.8,0.0,25.0,0.0,1.0,1.0
7,12,10,100,1,1000,8.8,0.0,25.0,0.0,1.0,1.0
8,12,10,100,1,700,8.8,0.0,25.0,0.0,1.0,1.0
9,12,10,100,1,300,8.8,0.0,25.0,0.0,1.0,1.0
10,12,10,100,1,100,8.8,0.0,25.0,0.0,1.0,1.0
