Number,N2flow,SO2flow,O2flow,UVC,H2O_1,Q1,Q2,T,H2O_2,H2Oconc_1,H2Oconc_2
1.0,12.0,10.0,100.0,1.0,100.0,8.8,0.0,25.0,0.0,1.0,1.0
2.0,12.0,10.0,100.0,1.0,300.0,8.8,0.0,25.0,0.0,1.0,1.0
3.0,12.0,10.0,100.0,1.0,500.0,8.8,0.0,25.0,0.0,1.0,1.0
4.0,12.0,10.0,100.0,1.0,900.0,8.8,0.0,25.0,0.0,1.0,1.0
5.0,12.0,10.0,100.0,1.0,1200.0,8.8,0.0,25.0,0.0,1.0,1.0
6.0,12.0,10.0,100.0,1.0,1800.0,8.8,0.0,25.0,0.0,1.0,1.0
7.0,12.0,10.0,100.0,1.0,2000.0,8.8,0.0,25.0,0.0,1.0,1.0
8.0,12.0,10.0,100.0,1.0,1500.0,8.8,0.0,25.0,0.0,1.0,1.0
9.0,12.0,10.0,100.0,1.0,1000.0,8.8,0.0,25.0,0.0,1.0,1.0
10.0,12.0,10.0,100.0,1.0,700.0,8.8,0.0,25.0,0.0,1.0,1.0
