,H2Oflow1,H2Oflow2,O2flow,N2flow1,N2flow2,I2conc1,I2conc2
0,200,0,50,-12.1775,12.0,17484416.013726614,1199529442.2938359
1,400,0,50,-12.3775,12.0,33629876.75831556,1102659071.7246382
2,600,0,50,-12.5775,12.0,50279041.7363979,1095038350.5446658
3,800,0,50,-12.7775,12.0,67883289.89380984,1115599661.2452157
4,1000,0,50,-12.9775,12.0,104820448.11289835,1391618788.1177888
5,1500,0,50,-13.4775,12.0,143120643.37552702,1305521807.8468125
6,2000,0,50,-13.9775,12.0,188899354.84396163,1335191267.9299488
7,2500,0,50,-14.4775,12.0,218607015.84796113,1277450281.3073087
8,3000,0,50,-14.9775,12.0,262343760.35547817,1319648587.9846094
9,3500,0,50,-15.4775,12.0,271468886.72434676,1208241464.9248245
10,4000,0,50,-15.9775,12.0,297377098.46025264,1194555019.6476898
