,H2O_cali,H2O_free,SynAir_cali,Q1,Q2,I2_Q1,I2_Q2
0,100,0,50,11.1,12.0,1204785538.365804,578922921.0329188
1,300,0,50,11.3,12.0,1041443999.3593761,505077991.10562015
2,500,0,50,11.5,12.0,919008962.6694392,449727790.2424915
3,700,0,50,11.7,12.0,818012698.2005835,403829053.5420602
4,1000,0,50,11.0,12.0,839131773.1482148,401323891.505668
5,1500,0,50,11.0,12.0,787500187.8882169,376630524.64219064
6,2000,0,50,11.0,12.0,721812368.191092,345214610.8740005
7,2500,0,50,11.0,12.0,664321042.8115109,317718759.6055052
8,3000,0,50,11.0,12.0,610283287.633045,291874615.8244998
9,4000,0,50,11.0,12.0,523497525.0141333,250368381.5284985
10,2000,0,50,11.0,12.0,711725235.4280652,340390329.9873355
