,N2flow,O2flow,H2Oflow,SO2flow,UVC,H2Oconc,Q
0,22000.0,50,1000,5,1,3.469774151838677e+16,22500.0
1,22000.0,50,500,5,1,2.2384969211223588e+16,22500.0
2,22000.0,50,750,5,1,2.7869903903356196e+16,22500.0
3,22000.0,50,1000,5,1,3.4311835506497588e+16,22500.0
4,22000.0,50,1250,5,1,4.049019730016338e+16,22500.0
5,22000.0,50,1500,5,1,4.337069233414038e+16,22500.0
6,22000.0,50,1750,5,1,4.892710782118413e+16,22500.0
7,22000.0,50,2000,5,1,5.468523549243159e+16,22500.0
8,22000.0,50,1500,5,1,4.29672686459277e+16,22500.0
9,22000.0,50,500,5,1,2.1240020056179548e+16,22500.0
10,22000.0,50,0,5,1,1.2844718906834804e+16,22500.0
