,N2flow1,H2Oflow1,N2flow2,H2Oflow2,SO2flow,O2flow,UVC,Q1,Q2
0,12.0,0,11.0,0,5,50,0,11.5,22.5
1,12.0,0,11.0,0,5,50,1,11.5,22.5
2,12.0,50,11.0,0,5,50,1,11.5,22.5
3,11.9,100,11.0,0,5,50,1,11.5,22.5
4,11.8,200,11.0,0,5,50,1,11.5,22.5
5,11.7,300,11.0,0,5,50,1,11.5,22.5
6,11.6,400,11.0,0,5,50,1,11.5,22.5
7,11.4,600,11.0,0,5,50,1,11.5,22.5
8,11.2,800,11.0,0,5,50,1,11.5,22.5
9,11.0,1000,11.0,0,5,50,1,11.5,22.5
10,11.4,600,11.0,0,5,50,1,11.5,22.5
11,11.8,200,11.0,0,5,50,1,11.5,22.5
12,12.0,0,11.0,0,5,50,1,11.5,22.5
