,N2flow1,H2Oflow2,N2flow2,H2Oflow1,SO2flow,UVC,O2flow1,H2Oconc2,H2Oconc1,Q2,Q1,O2flow2
0,11763.28927300624,0.0,12911.329262446014,300.0,2.5,1,50,8881000592360598.0,2.0380641606541e+16,22500.0,9588.670737553986,0
1,11763.28927300624,1043.9476360033752,11835.38515724218,300.0,2.5,1,51,4.112861759926018e+16,8.639423573382771e+16,22500.0,9620.667206754444,0
2,11763.28927300624,1565.921454005063,11297.413104640264,300.0,2.5,1,52,6.478217672786615e+16,1.2976910108852762e+17,22500.0,9636.665441354673,0
3,11763.28927300624,2087.8952720067505,10759.441052038346,300.0,2.5,1,53,8.734573475232392e+16,1.670800340656217e+17,22500.0,9652.663675954904,0
4,11763.28927300624,2609.869090008438,10221.468999436427,300.0,2.5,1,54,1.0635903186742274e+17,1.9461574646857485e+17,22500.0,9668.661910555134,0
5,11763.28927300624,3131.842908010126,9683.496946834512,300.0,2.5,1,55,1.2058719468941998e+17,2.114393006121484e+17,22500.0,9684.660145155362,0
6,11763.28927300624,4175.790544013501,8607.552841630677,300.0,2.5,1,56,1.426839150860481e+17,2.3087762857833584e+17,22500.0,9716.656614355823,0
7,11763.28927300624,6263.685816020252,6455.664631223007,300.0,2.5,1,56,1.7161862397712192e+17,2.405347011895557e+17,22500.0,9780.649552756742,0
8,11763.28927300624,8351.581088027002,4303.7764208153385,300.0,2.5,1,57,1.87143734294986e+17,2.313264390349301e+17,22500.0,9844.64249115766,0
9,11763.28927300624,10439.476360033752,2151.888210407669,300.0,2.5,1,58,1.994509997441381e+17,2.2050764867271843e+17,22500.0,9908.635429558579,0
10,11763.28927300624,12527.371632040504,0.0,300.0,2.5,1,59,2.1056005888871296e+17,2.1056005888871296e+17,22500.0,9972.628367959496,0
